"latitude","longitude","name","country","refcode"
"-32.1613","-64.1537","CT 13 DE JULIO","AR","ARG0000110"
"-43.0907","-65.2298","CT ALEM","AR","ARG0000217"
"-38.8706","-70.5753","CT ALUMINE","AR","ARG0000256"
"-27.0922","-54.8625","CT ARISTOBULO DEL VALLE","AR","ARG0000229"
"-34.0414","-60.1297","CT ARRECIFES","AR","ARG0000003"
"-28.4431","-62.8569","CT AÑATUYA","AR","ARG0000333"
"-28.4431","-62.8569","CT AÑATUYA II","AR","ARG0000334"
"-41.1497","-71.2633","CT BARILOCHE","AR","ARG0000273"
"-32.6103","-62.6864","CT BELL VILLE","AR","ARG0000113"
"-35.1364","-60.4311","CT BRAGADO","AR","ARG0000023"
"-34.1636","-59.7683","CT CAPITAN SARMIENTO","AR","ARG0000028"
"-28.4706","-65.7647","CT CATAMARCA","AR","ARG0000054"
"-38.0528","-70.6136","CT CAVIAHUE","AR","ARG0000257"
"-29.8883","-61.9297","CT CERES","AR","ARG0000314"
"-27.2369","-61.1939","CT CHARATA","AR","ARG0000065"
"-29.1581","-67.5072","CT CHILECITO","AR","ARG0000189"
"-38.9133","-67.9414","CT CIPOLLETTI","AR","ARG0000260"
"-33.9222","-61.0769","CT COLON BUENOS AIRES","AR","ARG0000039"
"-32.4767","-58.2672","CT CONCEPCION DEL URUGUAY","AR","ARG0000147"
"-27.4708","-58.8042","CT CORRIENTES","AR","ARG0000114"
"-38.6871","-62.3961","CT ECOENERGIA (PETROBRAS)","AR","ARG0000032"
"-34.8597","-57.9557","CT ENSENADA DE BARRAGAN","AR","ARG0000160"
"-30.0550","-59.5294","CT ESQUINA","AR","ARG0000139"
"-26.1764","-58.2094","CT FORMOSA II","AR","ARG0000149"
"-35.0347","-62.9981","CT GENERAL VILLEGAS","AR","ARG0000004"
"-29.1583","-59.2728","CT GOYA","AR","ARG0000138"
"-26.8666","-65.2247","CT INDEPENDENCIA","AR","ARG0000336"
"-23.9078","-61.8342","CT INGENIERO JUAREZ","AR","ARG0000152"
"-28.4733","-65.7275","CT INTA CATAMARCA","AR","ARG0000055"
"-33.2425","-62.3950","CT ISLA VERDE","AR","ARG0000083"
"-25.9564","-60.6204","CT JUAN JOSE CASTELLI","AR","ARG0000059"
"-34.5708","-60.9161","CT JUNIN","AR","ARG0000035"
"-34.9344","-58.0160","CT LA PLATA","AR","ARG0000040"
"-29.3811","-66.8325","CT LA RIOJA DELIVERY","AR","ARG0000190"
"-29.3808","-66.8319","CT LA RIOJA SUR","AR","ARG0000191"
"-25.1286","-58.2597","CT LAGUNA BLANCA","AR","ARG0000153"
"-37.0781","-57.8181","CT LAS ARMAS","AR","ARG0000024"
"-37.0781","-57.8181","CT LAS ARMAS II","AR","ARG0000025"
"-27.0289","-58.6997","CT LAS PALMAS","AR","ARG0000066"
"-40.8421","-68.0869","CT LIBERTADOR GENERAL SAN MARTIN","AR","ARG0000170"
"-34.8578","-61.5206","CT LINCOLN","AR","ARG0000036"
"-35.1917","-59.0808","CT LOBOS","AR","ARG0000041"
"-35.1001","-57.4839","CT MAGDALENA","AR","ARG0000005"
"-34.3931","-58.8372","CT MATHEU","AR","ARG0000163"
"-37.4102","-68.9000","CT MEDANITOS (RINCON DE LOS SAUCES)","AR","ARG0000258"
"-38.2472","-57.8242","CT MIRAMAR I","AR","ARG0000022"
"-36.9439","-60.2361","CT OLAVARRIA","AR","ARG0000026"
"-23.1258","-64.3069","CT ORAN","AR","ARG0000286"
"-31.7764","-60.4553","CT PARANA","AR","ARG0000148"
"-28.5339","-65.7997","CT PARQUE INDUSTRIAL CATAMARCA","AR","ARG0000056"
"-27.3236","-58.5667","CT PASO DE LA PATRIA","AR","ARG0000141"
"-35.8336","-61.8758","CT PEHUAJO","AR","ARG0000037"
"-37.0953","-56.8789","CT PINAMAR","AR","ARG0000027"
"-25.6786","-59.0756","CT PIRANE","AR","ARG0000154"
"-26.9955","-65.1660","CT PLUSPETROL NORTE","AR","ARG0000337"
"-31.2567","-61.5203","CT RAFAELA","AR","ARG0000315"
"-35.0550","-64.2406","CT REALICO","AR","ARG0000184"
"-31.8919","-60.0106","CT ROCA","AR","ARG0000262"
"-26.8156","-60.4114","CT SAENZ PEÑA  I","AR","ARG0000062"
"-26.8153","-60.4125","CT SAENZ PEÑA  II","AR","ARG0000060"
"-27.4597","-65.6055","CT SALTO","AR","ARG0000038"
"-34.5252","-58.6206","CT SAN MARTIN NORTE III","AR","ARG0000161"
"-26.9955","-65.1660","CT SAN MIGUEL DE TUCUMAN","AR","ARG0000341"
"-34.5252","-58.6206","CT SAN MIGUEL NORTE III","AR","ARG0000162"
"-28.2628","-58.0006","CT SANTA ROSA","AR","ARG0000142"
"-22.5406","-63.8056","CT TARTAGAL","AR","ARG0000288"
"-28.4289","-65.7878","CT TEREVINTOS","AR","ARG0000057"
"-28.0486","-67.5667","CT TINOGASTA","AR","ARG0000058"
"-26.9955","-65.1660","CT TUCUMAN","AR","ARG0000342"
"-33.7736","-61.9564","CT VENADO TUERTO","AR","ARG0000316"
"-31.8919","-60.0106","CT VIALE","AR","ARG0000143"
"-27.5808","-60.7094","CT VILLA ANGELA","AR","ARG0000061"
"-39.0872","-67.0881","CT VILLA REGINA","AR","ARG0000261"
"-30.1833","-69.0667","CUESTA DEL VIENTO","AR","ARG0000297"
"-26.0400","-65.9300","Cafayate","AR","WKS0071212"
"-33.6100","-65.4450","Caldenes del Oeste","AR","WKS0072494"
"-23.8000","-66.8000","Cauchari","AR","WKS0068701"
"-31.3934","-64.2059","DEAN FUNES","AR","ARG0000088"
"-34.8902","-57.9330","DIQUE","AR","ARG0000157"
